1 貴 信(귀할귀 믿을신) 불고기
2 주 식회사 서초동연가 서초별관점
3 인 근주민 강남본점
4 서 울집
5 참 이맛 감자탕
6 스 시가
7 강 남껍데기
8 강 남역 파스타
9 이 자카야 나무  (서초)
150  동신참치양재직영점
151  디오디아(DIODIA)
152  구이마마
153  The Park(뷔페식당)
154  화돌농장
155  (주)배나무골
156  어진
157  행복밥상
158  평가옥
159  초원정육식당
160  해늘찹쌀순대
161  한촌설렁탕
162  사랑채
163  약초마을
164  소호정
165  황태마을
166  정여사 손칼국수
167  여의도생고기
168  피노
169  맷돌로만청계산점
170  곤드레집
171  영주축협 한우프라자 청계산역점
172  서울만남의광장휴게소 한식당
173  목우촌마을 청계산점
174  국시 명가
175  조선면옥
176  유라
177  들밥 나들이
178  동지섣달 꽃본듯이
179  소담채
180  담소사골순대 이수역점
181  삼소락
182  바르미샤브샤브앤칼국수
183  도쿄하나 사당점
184  연안식당 사당점
185  둥구나무 사당점
186  사조참치(사당역점)
187  돌배기집 사당역지점
188  수향가
189  참조은정육식당
190  성민양꼬치
191  시골보쌈&감자옹심이
192  통영해물보쌈
193  군산 은모래 해물탕. 아구찜
194  포항죽도 어시장
195  남도술상
196  왕배화로
197  삼육가 사당역1호점
198  여진족
199  원당감자탕
200  신의주찹쌀순대&숯불갈비
201  한촌설렁탕 사당역점
202  물조은선주회집
203  방배 육감
204  하우스(HOUSE)
205  우면산
206  루안
207  남강메기 반포방배점
208  댓짱돈까스
209  방배 정육식당
210  김대감봉평메밀촌
211  임금님밥상
212  방배골숯불갈비
213  조가네 갑오징어 방배카페거리점
214  용이네 정육식당
215  Kelly(켈리)
216  방배 송이족발
217  육갑식당
218  미방
219  소담애
220  연화산
221  장수원
222  일일향 방배점
223  델리세
224  유다까 회전초밥전문점
225  소소정
226  참숯애 서래갈비
227  은선 설렁탕
228  서래면옥
229  묘오또
230  제주어항1950
231  송이하랑
232  방배명가
233  ㈜ 이지에프엔씨
234  금홍錦洪
235  만다린
236  양모리 양대창
237  서리풀 명가
238  마초셰프
239  만발
240  명동보리밥 방배점
241  우리밀 칼국수
242  CARNE BRASIL GRILL (까르니 브라질 그릴)
243  엉터리생고기 무한삼겹 방배역점
244  지현
245  북경
246  더구어
247  돈선생 방배점
248  방배순대국
249  순남시래기 방배점
250  정담남원추어탕
251  미나토
252  효소원 순두부와 청국장 그리고 전
253  ELBA KITCHEN(엘바 키친)
254  민어사랑
255  송강
256  만다린
257  (주)댓짱돈까스
258  방배골식당
259  임광루
260  방배본가면옥
261  방배골
262  오동도 산아나고 숯불구이
263  김영희 강남동태찜 이수점
264  토다이 반포점
265  수라빔
266  포베이 고속터미널점
267  경복궁 서초점
268  하남돼지집 반포점
269  무교동유정낙지반포점
270  한지박
271  다봉
272  h' Garden(에이치가든)
273  남도미락
274  레드브릭(Redbrick)
275  서래말 면옥집
276  하노이의아침
277  하루
278  화담
279  서래본가
280  육갑식당
281  전주행
282  포폴라리타
283  서래횟집
284  황제
285  (주)톰볼라
286  주미요
287  한국회관
288  우주
289  올반프리미엄 센트럴시티점
290  주식회사 에프아이씨
291  어랑 생선밥상
292  평가옥(반포점)
293  이춘복참치 신논현
294  누룽누룽
295  식도원
296  맷돌로만
297  더가든 키친
298  영동설농탕
299  노독일처
300  내고향본가
301  강남 따로국밥
302  원조마산콧털네아구찜
303  이모 전주콩나물 국밥
304  삼호복집
305  진대감
306  양쓰부
307  공리
308  (주)프로간장게장
309  황금코다리
310  의정부 평양면옥
311  진동둔횟집
312  봉평고향메밀촌
313  도쿄하나 잠원점
